"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.468491363E2,6.532276926E1,2.536984068E1,1.438213639E1,1.429999948E0,2.647999878E2,1.020408154E0,2.000000000E0
1.478491370E2,6.532276888E1,2.536980431E1,1.338212438E1,1.419999957E0,2.662000122E2,1.020408154E0,2.000000000E0
1.488491375E2,6.532276842E1,2.536976843E1,1.338211257E1,1.409999967E0,2.663999939E2,1.020408154E0,2.000000000E0
1.498491381E2,6.532276800E1,2.536973289E1,1.338210086E1,1.399999976E0,2.663999939E2,1.020408154E0,2.000000000E0
1.508491388E2,6.532276754E1,2.536969853E1,1.338208956E1,1.379999995E0,2.676000061E2,1.020408154E0,2.000000000E0
1.518491393E2,6.532276712E1,2.536966450E1,1.338207836E1,1.360000014E0,2.641000061E2,1.020408154E0,2.000000000E0
1.528491400E2,6.532276670E1,2.536963114E1,1.338206738E1,1.329999924E0,2.653999939E2,1.020408154E0,2.000000000E0
1.538491407E2,6.532276633E1,2.536959853E1,1.438205663E1,1.299999952E0,2.695000000E2,1.020408154E0,2.000000000E0
1.548491413E2,6.532276603E1,2.536956676E1,1.338204613E1,1.269999981E0,2.706000061E2,1.020408154E0,2.000000000E0
1.558491419E2,6.532276561E1,2.536953600E1,1.338203601E1,1.240000010E0,2.642999878E2,1.020408154E0,2.000000000E0
1.568491425E2,6.532276524E1,2.536950566E1,1.338202603E1,1.209999919E0,2.686000061E2,1.020408154E0,2.000000000E0
1.578491431E2,6.532276503E1,2.536947582E1,1.338201613E1,1.179999948E0,2.652000122E2,1.020408154E0,2.000000000E0
1.588491438E2,6.532276473E1,2.536944615E1,1.338200632E1,1.159999967E0,2.602000122E2,1.020408154E0,2.000000000E0
1.598491445E2,6.532276423E1,2.536941681E1,1.238199673E1,1.139999986E0,2.592999878E2,1.020408154E0,2.000000000E0
1.608491451E2,6.532276352E1,2.536938714E1,1.238198712E1,1.129999995E0,2.608999939E2,1.530612230E0,2.000000000E0
1.618491458E2,6.532276260E1,2.536935688E1,1.238197741E1,1.129999995E0,2.585000000E2,1.530612230E0,2.000000000E0
1.628491464E2,6.532276130E1,2.536932654E1,1.138196785E1,1.129999995E0,2.626000061E2,1.530612230E0,2.000000000E0
1.638491471E2,6.532275987E1,2.536929561E1,1.138195816E1,1.129999995E0,2.610000000E2,1.530612230E0,2.000000000E0
1.648491479E2,6.532275815E1,2.536926376E1,1.038194829E1,1.139999986E0,2.592999878E2,1.530612230E0,2.000000000E0
1.658491485E2,6.532275610E1,2.536923191E1,9.381938572E0,1.139999986E0,2.567000122E2,1.530612230E0,2.000000000E0
1.668491492E2,6.532275359E1,2.536920039E1,8.381929185E0,1.139999986E0,2.523000031E2,1.530612230E0,2.000000000E0
1.678491498E2,6.532275070E1,2.536916812E1,8.381919721E0,1.139999986E0,2.521999969E2,1.530612230E0,2.000000000E0
1.688491505E2,6.532274738E1,2.536913509E1,8.381910199E0,1.149999976E0,2.521999969E2,1.530612230E0,2.000000000E0
1.698491512E2,6.532274378E1,2.536910123E1,7.381900534E0,1.179999948E0,2.496000061E2,1.530612230E0,2.000000000E0
1.708491519E2,6.532273980E1,2.536906653E1,8.381890763E0,1.199999928E0,2.478000031E2,1.530612230E0,2.000000000E0
1.718491527E2,6.532273557E1,2.536903099E1,7.381880829E0,1.230000019E0,2.501000061E2,1.530612230E0,2.000000000E0
1.728491533E2,6.532273117E1,2.536899428E1,7.381870580E0,1.259999990E0,2.572000122E2,1.530612230E0,2.000000000E0
1.738491541E2,6.532272676E1,2.536895673E1,7.381860051E0,1.269999981E0,2.601000061E2,1.530612230E0,2.000000000E0
1.748491548E2,6.532272262E1,2.536891884E1,7.381849293E0,1.269999981E0,2.592000122E2,1.530612230E0,2.000000000E0
1.758491555E2,6.532271859E1,2.536888096E1,7.381838476E0,1.269999981E0,2.571000061E2,1.020408154E0,2.000000000E0
1.768491563E2,6.532271478E1,2.536884324E1,7.381827618E0,1.279999971E0,2.533000031E2,1.020408154E0,2.000000000E0
1.778491570E2,6.532271096E1,2.536880468E1,7.381816480E0,1.299999952E0,2.551999969E2,1.020408154E0,2.000000000E0
1.788491578E2,6.532270732E1,2.536876487E1,8.381804843E0,1.350000024E0,2.596000061E2,1.020408154E0,2.000000000E0
1.798491586E2,6.532270376E1,2.536872338E1,9.381792605E0,1.409999967E0,2.632999878E2,1.020408154E0,2.000000000E0
1.808491593E2,6.532270040E1,2.536868004E1,9.381779652E0,1.480000019E0,2.660000000E2,1.020408154E0,2.000000000E0
1.818491601E2,6.532269751E1,2.536863495E1,9.381765896E0,1.539999962E0,2.620000000E2,1.020408154E0,2.000000000E0
1.828491609E2,6.532269483E1,2.536858843E1,1.038175156E1,1.599999905E0,2.642000122E2,1.020408154E0,2.000000000E0
1.838491617E2,6.532269232E1,2.536854124E1,9.381736931E0,1.639999986E0,2.646000061E2,1.020408154E0,2.000000000E0
1.848491624E2,6.532269009E1,2.536849329E1,9.381721907E0,1.669999957E0,2.622999878E2,1.020408154E0,2.000000000E0
1.858491632E2,6.532268796E1,2.536844552E1,9.381706902E0,1.689999938E0,2.642000122E2,1.020408154E0,2.000000000E0
1.868491640E2,6.532268578E1,2.536839715E1,9.381691719E0,1.699999928E0,2.642999878E2,1.020408154E0,2.000000000E0
1.878491648E2,6.532268364E1,2.536834938E1,9.381676714E0,1.699999928E0,2.582000122E2,1.020408154E0,2.000000000E0
1.888491655E2,6.532268121E1,2.536830252E1,9.381662154E0,1.689999938E0,2.591000061E2,1.020408154E0,2.000000000E0
1.898491664E2,6.532267882E1,2.536825592E1,9.381647659E0,1.689999938E0,2.642999878E2,1.020408154E0,2.000000000E0
1.908491672E2,6.532267668E1,2.536820881E1,9.381632879E0,1.699999928E0,2.617000122E2,1.020408154E0,2.000000000E0
1.918491680E2,6.532267450E1,2.536816078E1,9.381617809E0,1.719999909E0,2.630000000E2,1.020408154E0,2.000000000E0
1.928491688E2,6.532267228E1,2.536811242E1,8.381602647E0,1.740000010E0,2.572999878E2,1.530612230E0,2.000000000E0
1.938491696E2,6.532266994E1,2.536806456E1,8.381587713E0,1.740000010E0,2.543000031E2,1.020408154E0,2.000000000E0
